,ID,ORIGINE,T_COMMERCE,DATE_CREATION,CIVIQUE,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENTATION,ADRESSE,SUITE,CODE_POST,ETAGE,NOM_CENTRE,NOM_ETAB_2023,ID_USAGE1,USAGE1,ID_USAGE2,USAGE2,ID_USAGE3,USAGE3,SCIAN,SITEWEB,ACCES_MOBILITE_REDUITE,VACANT_A_LOUER,A_LOUER_CONTACT,A_LOUER_TELEPHONE,ARRONDISSEMENT,QUARTIER,SDC_NOM,SECTEUR_PME,ENFANT,MULTIUSAGE,MULTIOCCUPANT,COORDY,COORDX,LAT,LONG
0,{84d6983b-891c-4160-a84c-3cc6aa65c2dd},HORS_SDC,Commerce rue,2023/06/07,9630,rue,,4e,,9630 4e rue ,,H1E5B5,RC,,Marché Iliamise,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,,Non,Non,,,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies,,Est-de-l'Île,Non,Non,Non,5057228.43,299571.18,45.65493835873739,-73.56709300329757
1,{8dc59b57-1918-4b0b-a85b-4dc76f5bed75},HORS_SDC,Commerce rue,2023/06/13,9204,rue,,Sherbrooke,E,9204 rue Sherbrooke E,,H1L1E5,RC,,MARCHÉ DE LUXE,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Oui,Non,5052150.54,302734.95,45.60926298234726,-73.52647681607402
2,{d3f4d3a9-8692-4b00-b1a2-9fe00dde1148},HORS_SDC,Commerce rue,2023/06/13,8870,rue,,Sherbrooke,E,8870 rue Sherbrooke E,,H1L1C6,Demi sous-sol,,MARCHÉ FOUTA,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Oui,Non,5051812.02,302545.17,45.60621629979295,-73.52890836103501
3,{d524dae3-6c09-4cfd-b81b-3af01a344d04},HORS_SDC,Commerce rue,2023/06/07,8874,rue,,Hochelaga,,8874 rue Hochelaga ,,H1L4R7,RC,,Ô poids verts,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051486.97,303359.19,45.60329357633489,-73.51847167031416
4,{bf023827-c65b-4b11-bd12-9c04875653e7},HORS_SDC,Commerce rue,2023/06/07,9501,rue,,Hochelaga,,9501 rue Hochelaga ,,H1L2R1,RC,,Marché Hochelaga,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5052193.29,303568.79,45.60964963580097,-73.5157865222083
5,{c1091218-0533-49e5-922b-df893ac8b3c7},HORS_SDC,Commerce rue,2023/06/13,8679,rue,,Sherbrooke,E,8679 rue Sherbrooke E,,H1L1C1,Demi sous-sol,,Épicerie Micastbin,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Dupéré,,Centre-Est,Non,Non,Non,5051586.19,302399.29,45.60418373212817,-73.53077743013912
6,{7bd99650-9e0a-4a3e-ac19-34c58bf1e2e9},HORS_SDC,Commerce rue,2023/06/13,2914,boulevard,,Lacordaire,,2914 boulevard Lacordaire ,,H1N1J9,RC,,Marché Richelieu,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,https://www.marcherichelieu.ca/,Rampe d'accès,Non,,,Mercier–Hochelaga-Maisonneuve,Longue-Pointe,,Centre-Est,Non,Non,Non,5048114.69,301429.66,45.5729421292633,-73.5431836672653
7,{3571baeb-da7c-4fa8-8765-e97aea8c1cc9},HORS_SDC,Commerce rue,2023/06/13,6680,rue,,Sherbrooke,E,6680 rue Sherbrooke E,,H1N1C9,RC,,Marché africain Rela,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Longue-Pointe,,Centre-Est,Non,Non,Non,5049264.51,301508.97,45.58328894639928,-73.5421752598875
8,{9ed894c9-567c-48a8-9049-6dca61dbf42a},HORS_SDC,Commerce rue,2023/06/13,6685,rue,de,Marseille,,6685 rue de Marseille ,,H1N3B3,RC,,Bienvenue aux petits oignons,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Longue-Pointe,,Centre-Est,Oui,Non,Non,5049159.63,301765.76,45.58234637189248,-73.53888390321653
9,{a8364bf5-ff4c-4f41-8bb1-c416047d5b21},HORS_SDC,Commerce rue,2023/06/13,6683,rue,de,Marseille,,6683 rue de Marseille ,,H1N3B3,RC,,Bienvenue aux petits oignons,A,Biens courants,4,Alimentation,149,Épicerie,445110.0,https://www.facebook.com/fruiterieauxpetitsoignons/,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Longue-Pointe,,Centre-Est,Non,Non,Non,5049154.32,301763.27,45.58229858003055,-73.53891577845047
