,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
244,Parc de La Bolduc,https://montreal.ca/lieux/parc-de-la-bolduc,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-09-16,2023-10-25,Le Plateau-Mont-Royal,Parc et jardins,Parc,,"Fontaine d'eau potable,Module de jeu pour enfants",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de La Bolduc,"4181, rue Rivard",,H2L2H9,Montréal,-73.57726557301572,45.5224335314869,298764.1,5042504.6
245,Parc De Gaspé,https://montreal.ca/lieux/parc-de-gaspe,"Les terrains sportifs sont accessibles sans réservation aux plages horaires suivantes : Soccer familial (pour tous)Du 1er mai au 5 novembre 2023Lundi au vendredi de 15 h à 18 hSamedi et dimanche de 9 h à 12 h et de 15 h à 18 hSoccer libre (12 ans et plus) Du 1er mai au 5 novembre 2023Lundi au vendredi de 18 h à 23 hSamedi et dimanche de 12h à 15 h et de 18 h à 23 hÀ l’extérieur de ces plages horaires, les terrains sont réservés en priorité aux détenteurs de permis.",2019-09-16,2023-04-18,Rosemont–La Petite-Patrie,Parc et jardins,Parc,"Soccer,Patinage,Baignade",Module de jeu pour tout-petits,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc De Gaspé,"6655, avenue De Gaspé",,H2S2Y1,Montréal,-73.609048,45.533229,296282.9,5043707.2
246,Parc Decelles,https://montreal.ca/lieux/parc-decelles,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.Terrain de baseball,2019-09-16,2024-02-01,Saint-Laurent,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,numéro: 5148556107,,Parc Decelles,"845, rue Roy",,H4L 3T6,Montréal,-73.677606584105,45.514081092628,290923.5,5041588.8
247,Parc de Bordeaux,https://montreal.ca/lieux/parc-de-bordeaux,"On y trouve une patinoire, un terrain de jeu pour les enfants, et bien plus encore.",2019-09-16,2023-12-18,Ahuntsic-Cartierville,Parc et jardins,Parc,"Patinage,Hockey","Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Toilettes",Adapté aux poussettes,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de Bordeaux,"12141, rue Pasteur",,H3M2R2,Montréal,-73.699238413418,45.541557992485,289240.9,5044646.3
248,Parc de Beauséjour,https://montreal.ca/lieux/parc-de-beausejour,"Le parc de Beauséjour est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.Merci de respecter la réglementation dans les parcs.",2019-09-16,2023-12-18,Ahuntsic-Cartierville,Parc et jardins,Parc,"Vélo,Ski de fond,Raquette,Randonnée,Observation d'oiseaux","Appareils d'exercices,Aire de pique-nique,Barbecue,Circuit d'entraînement,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Rampe de mise à l'eau,Roulotte ou chalet chauffé,Stationnement gratuit,Support à vélo,Toilettes","Accessible en fauteuil roulant,Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Entrée de plain-pied,Sentier d'accès,Stationnement accessible,Toilettes accessibles,Zone de débarcadère",Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",Le parc est ouvert.,,,,,Parc de Beauséjour,"6995, boulevard Gouin Ouest",,H4K1B5,Montréal,-73.731642034941,45.527479475196,286705.9,5043088.6
249,Parc David-Lefebvre,https://montreal.ca/lieux/parc-david-lefebvre,"Des zones permettant une variété d’activités et d’expériencesVenez vous entraîner dans le circuit d’exercice quatre saisons compte cinq appareils vous permettant d’exécuter une variété de mouvements complémentaires pour travailler votre cardio, votre flexibilité et vos muscles. Il est possible de programmer différents niveaux de défis grâce à des écrans tactiles alimentés en électricité par vos coups de pédales!Une zone de détente comprenant des chaises longues et des tables à pique-nique ainsi que des maisonnettes balancelles vous permet de vous détendre après votre entraînement. Vous pouvez vous rafraîchir à la nouvelle fontaine à boire et profiter des nouveaux supports à vélo. Vous aimez observer les oiseaux? Les geais bleus, passereaux et mésangeais qui fréquentent le parc viennent se reposer dans un nouveau nichoir artistique, abritant cinq nids, aménagé dans un tronc d’arbre valorisé.",2019-09-16,2023-11-20,Le Sud-Ouest,Parc et jardins,Parc,Observation d'oiseaux,"Aire de pique-nique,Bacs bruns publics,Circuit d'entraînement,Support à vélo",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc David-Lefebvre,"2413, rue Quesnel",,H3J1G5,Montréal,-73.577478111481,45.486180543742,298743.6,5038475.8
250,Parc D'Auteuil,https://montreal.ca/lieux/parc-dauteuil,"On y trouve un terrain de soccer, un terrain de baseball/balle, un terrain de jeu pour les enfants, et bien plus encore.",2019-09-16,2023-12-05,Ahuntsic-Cartierville,Parc et jardins,Parc,"Soccer,Pétanque ou bocce,Baseball","Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Terrain de jeu de boules,Toilettes","Accessible en fauteuil roulant,Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Sentier d'accès,Toilettes accessibles,Zone de débarcadère",Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc D'Auteuil,"350, rue Sauvé Est",,H3L1H4,Montréal,-73.656655,45.549011,292568.0,5045467.2
251,Parc D'Argenson,https://montreal.ca/lieux/parc-dargenson,"Phases des travauxPhase 1 - Travaux de réhabilitation environnementale et d’électricité : Été 2022 (terminé)Remplacement d’une conduite d’eau principale (Ville de Montréal) : Fin février à début avril 2023 (terminé)Phase 2 - Construction du pumptrack : Printemps 2023Phase 3 - Travaux d’aménagement, du parc canin et du module hybride : 2024Travaux dans le secteur Rue Grand Trunk (Ville de Montréal) : En cours, fin prévue au printemps 2023Phase 1 - Travaux de réhabilitation environnementale et d’électricitéL’Arrondissement a effectué des travaux de réhabilitation environnementale au parc D’Argenson à l’été 2022 et intégré un nouveau réseau d’éclairage décoratif et sportif. Cette première phase de travaux, dont le coût s’élève à 1,14 M$, consistait à retirer une partie des sols contaminés par de nombreuses années d’usage industriel pour l’éliminer dans des centres autorisés. Le reste des sols a été conservé, mais isolé grâce à une couche de sol propre d’environ 1 mètre (variable selon le type de surface). Les zones dédiées aux aménagements sportifs, incluant le futur pumptrack et un module hybride, dont la construction est prévue dans un deuxième temps, seront ainsi protégées.Il est à noter que seules des matières résiduelles non dangereuses ont été identifiées lors des travaux de caractérisation. Une étude sur l’évaluation des risques (éco)toxicologiques et des impacts sur l’eau souterraine posés par la qualité des sols de même que le plan de réhabilitation modifié sont disponibles pour consultationPlan de réhabilitation modifiéÉtude sur l’évaluation des risques (éco)toxicologiques et des impacts sur l’eau souterraine posés par la qualité des solsRemplacement d’une conduite d’eau principale La Ville de Montréal réalisera des travaux de remplacement d’une conduite d’eau dans le parc D’Argenson, à l’intersection des rues du Centre et D’Argenson, à la hauteur de la rue Grand Trunk. Construite en fonte il y a de cela plusieurs années, celle-ci présente des signes d’usure importants.Le remplacement de cette conduite nécessitera l’excavation d’une portion du parc afin de creuser une tranchée pour permettre la mise en place des nouvelles conduites d’eau. On vérifiera ensuite son étanchéité avant de procéder à son raccordement aux conduites existantes. À la fin des travaux, la portion du parc en question sera remise en état.Phase 2 - Premère piste à rouleaux (pumptrack) du Sud-Ouest et de MontréalL’Arrondissement a construit la première piste à rouleaux du Sud-Ouest et de Montréal. Il est ouvert depuis le 14 juillet 2023. Ce parcours en boucle fermée constitué de bosses consécutives et de virages relevés permet d’avancer en gagnant de la vitesse avec le pompage des bras et du corps - de haut en bas. Que ce soit en BMX, en vélo de montagne, en planche à roulettes, en patins à roues alignées, en trottinettes ou même en fauteuils roulants, une fois lancé(e)s sur la piste, les utilisatrices et utilisateurs avanceront sans avoir à donner de coup de bras, de pédale ou de patins! Des parcours débutants, intermédiaires et experts sont prévus. Des stations de vélos seront installées en 2024 aux entrées de la piste pour accueillir les visiteurs en grand nombre!Phase 3 - Travaux d’aménagement, du parc canin et du module hybride Sondage citoyen.ne sur leur installation préférée à intégrer au parcEn 2021, près de 700 citoyen.ne.s ont participé au sondage en ligne pour sélectionner leur installation favorite à intégrer au parc pour les jeunes. Les trois choix, soit l’entraînement de rue, l’escalade et trampoline et le parkour et funambulisme (slackline) ont tous été très populaires. L’Arrondissement a donc décidé de construire un module hybride combinant des éléments des trois choix.Parc canin et aménagements paysagers Un parc canin avec sortie d’eau, mobilier et plantation est prévu pour bouger et jouer avec son fidèle compagnon, sans laisse!Plusieurs améliorations seront également apportées au parc pour rendre les déplacements plus agréables dont l’aménagement de sentiers et l’ajout de signalétique pour mieux s’y retrouver de même que de l’éclairage pour plus de sécurité. Aussi, la création d’une zone détente avec hamacs permettra de se reposer une fois l’adrénaline dépensée. De plus, des infrastructures seront installées pendant les travaux permettant l’ajout futur d’un réseau WiFi pour profiter du beau temps tout en restant branché. Transition écologiqueUn jardin de pluie sera aménagé pour gérer l’eau de ruissellement et agir à titre de bassin de rétention pour qu’elle ne se retrouve pas dans les égouts. Également, plus de 70 arbres et des centaines de vivaces seront plantés afin d’augmenter la biodiversité et l’ombrage sur le site.Avis précédentsAvril 2023 - Travaux de construction d’un pumptrackMars 2023 - Travaux de remplacement d’une conduite d’eau principale - lettre en avalFévrier 2023 - Travaux de remplacement d’une conduite d’eau principale - avis de travauxJanvier 2023 - Travaux de remplacement d’une conduite d’eau principale - présentation des travauxJuillet 2022 - Travaux de réhabilitation environnementale et d’électricitéSeptembre 2021 - Report des travaux de réhabilitation environnementale et d’électricitéMars 2021 - Sondage pour le module et présentation des travaux",2019-09-16,2023-07-14,Le Sud-Ouest,Parc et jardins,Parc,,,,Culture et sports,Fermeture partielle," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc D'Argenson,"2900, rue Centre",,H3K3A8,Montréal,-73.571362971475,45.475891971965,299220.6,5037332.0
252,Parc D'Arcy-McGee,https://montreal.ca/lieux/parc-darcy-mcgee,"Le parc D’Arcy-McGee est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-09-16,2021-06-15,Le Sud-Ouest,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc D'Arcy-McGee,"1500, avenue Egan",,H4E 2J6,Montréal,-73.58762877423,45.452617195201,297946.0,5034746.7
253,Parc Daniel-Johnson,https://montreal.ca/lieux/parc-daniel-johnson,Profitez des attraits de la nature ou pratiquez des loisirs en plein air.,2019-09-16,2022-11-17,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,Wi-Fi gratuit,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Daniel-Johnson,"1500, boulevard du Tricentenaire",,H1B3A8,Montréal,-73.500302474938,45.650289315102,304776.4,5056710.6
