,ID,ORIGINE,T_COMMERCE,DATE_CREATION,CIVIQUE,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENTATION,ADRESSE,SUITE,CODE_POST,ETAGE,NOM_CENTRE,NOM_ETAB_2023,ID_USAGE1,USAGE1,ID_USAGE2,USAGE2,ID_USAGE3,USAGE3,SCIAN,SITEWEB,ACCES_MOBILITE_REDUITE,VACANT_A_LOUER,A_LOUER_CONTACT,A_LOUER_TELEPHONE,ARRONDISSEMENT,QUARTIER,SDC_NOM,SECTEUR_PME,ENFANT,MULTIUSAGE,MULTIOCCUPANT,COORDY,COORDX,LAT,LONG
97,{5fcd645c-c6c8-419e-8e60-1c7963cd7f33},HORS_SDC,Commerce rue,2023/06/07,9111,boulevard,,Maurice-Duplessis,,9111 boulevard Maurice-Duplessis ,,H1E6M3,RC,,GRIOT PLUS,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Accès au niveau du sol,Non,,,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies,,Est-de-l'Île,Non,Non,Non,5056243.56,299277.48,45.64607403437219,-73.5708503216132
103,{48c5894e-05a9-420a-a45d-50d2260d1e4e},HORS_SDC,Commerce rue,2023/06/07,9181,boulevard,,Maurice-Duplessis,,9181 boulevard Maurice-Duplessis ,,H1E6M3,RC,,Café chez luna,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Café, Salon de thé",722512.0,,Accès au niveau du sol,Non,,,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies,,Est-de-l'Île,Non,Non,Non,5056279.06,299260.23,45.64639333295063,-73.57107202707947
109,{8689db44-2533-4cf9-93b3-0391ee74e35b},HORS_SDC,Commerce rue,2023/06/07,12451,boulevard,,Rodolphe-Forget,,12451 boulevard Rodolphe-Forget ,,H1E6P6,RC,,Tim Hortons,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Accès au niveau du sol,Non,,,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies,,Est-de-l'Île,Non,Non,Non,5056602.09,298686.27,45.649295201362285,-73.5784394994539
124,{9833b95e-e0a4-49ac-8937-7afd780876d4},HORS_SDC,Commerce rue,2023/06/07,10725,boulevard,,Henri-Bourassa,E,10725 boulevard Henri-Bourassa E,,H1C1G7,RC,,Tim Hortons,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,https://www.timhortons.ca/store-locator/store/restaurant_69742,Accès au niveau du sol,Non,,,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies,,Est-de-l'Île,Non,Non,Non,5056936.5,301914.28,45.65232521754171,-73.53702671581661
144,{2d0d3fa1-7d1e-4862-b7c6-8008cf039569},HORS_SDC,Commerce rue,2023/06/07,8235,rue,,Notre-Dame,E,8235 rue Notre-Dame E,,H1L5P2,RC,,McDonald's,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTk0OTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Beaurivage,,Centre-Est,Non,Non,Non,5050346.57,303935.53,45.593032892380464,-73.51108135839647
164,{5667dd55-9804-4c72-b657-06a349f991c8},HORS_SDC,Commerce rue,2023/06/07,8746,rue,,Notre-Dame,E,8746 rue Notre-Dame E,,H1L3M1,RC,,Restaurant Coronel,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,http://www.menubonnebouffe.ca/project/coronel-restaurant/,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Beaurivage,,Centre-Est,Non,Non,Non,5051084.5,303850.45,45.59967288508232,-73.51217326399382
171,{bae3916c-b41f-4b08-86fe-68221c1d074f},HORS_SDC,Commerce rue,2023/06/07,9041,rue,,Notre-Dame,E,9041 rue Notre-Dame E,,H1L3M9,RC,,Restaurant chez to go,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,https://restaurant-chez-to-go-inc.business.site/?utm_source=gmb&utm_medium=referral,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Beaurivage,,Centre-Est,Non,Non,Non,5051531.33,303799.59,45.603693513195374,-73.51282612937828
190,{a22111cf-2bc3-4caf-8d15-75c26a258925},HORS_SDC,Commerce rue,2023/06/13,7790,rue,,Sherbrooke,E,7790 rue Sherbrooke E,,H1L1A5,RC,,Nippori,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050591.95,302076.0,45.59523609316651,-73.53491630561835
194,{6d880176-8a0b-4ce7-8e61-ccea1dc45d18},HORS_SDC,Commerce rue,2023/06/13,7868,rue,,Sherbrooke,E,7868 rue Sherbrooke E,,H1L1A5,RC,,SURPRISE PIZZA,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050631.25,302092.29,45.59558978936021,-73.53470772670386
195,{2da83fa7-96af-4870-809d-b522dae81d51},HORS_SDC,Commerce rue,2023/06/13,7870,rue,,Sherbrooke,E,7870 rue Sherbrooke E,,H1L1A5,RC,,St-Hubert,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050642.46,302097.12,45.59569067891384,-73.53464587990983
